Total, Detected, Lin. vel., Ang.vel., Roll, Pitch, Fire dist., Drone offset x, Drone offset y, Conversion, Process time
202, 41, 0, -1, 0.040587611050325226, 0.4083547786416439, 85.30899718083667, 19.25, -143.75, 0.4685212856658182,033.12
204, 42, 0.1, 0, 0, 0, 609.0648569733769, -480.0, -360.0, 0.46783714616385397,012.55
206, 44, 0, -1, 0.03701387608152343, 0.23799100707197995, 83.54190565219349, 17.5, -82.0, 0.440985774028391,018.45
208, 46, 0, -1, 0.04218585560373004, 0.22965267690580088, 83.98362935715508, 20.0, -79.5, 0.454336899611537,014.78
211, 49, 0, -1, 0.04948123231949855, 0.3294459689842622, 83.93151970505478, 23.5, -115.5, 0.45371295301417763,012.59
213, 50, 0.1, 0, 0, 0, 607.2108365304427, -480.0, -360.0, 0.45371295301417763,021.77
215, 52, 0, -1, 0.05153020762797625, 0.28846509164840867, 82.68804327108, 24.5, -100.25, 0.4404151646360276,017.12
218, 55, 0, -1, 0.06457125350805615, 0.17166106430683303, 80.40600101982439, 30.75, -57.75, 0.440985774028391,022.12
220, 56, 0, -1, 0.06619412716250912, 0.13478880149564845, 80.68612024381889, 31.5, -45.0, 0.440985774028391,011.29
222, 58, 0, -1, 0.07291417376820851, 0.16586370135248815, 80.15804700714708, 34.75, -56.5, 0.4404151646360276,017.39
225, 60, 0.1, 0, 0, 0, 652.6078454937544, -480.0, -360.0, 0.46783714616385397,013.22
227, 62, 0, -1, 0.07966207867367683, 0.129895921169886, 78.88638982739671, 38.0, -43.25, 0.46783714616385397,010.41
230, 65, 0, -1, 0.08966207648913226, 0.041214958118601715, 78.43508462416548, 42.75, -11.0, 0.46783714616385397,020.0
232, 67, 0, -1, 0.09586728133000956, 0.019146394026611925, 78.98615384989954, 45.75, -3.5, 0.4404151646360276,09.26
234, 69, 0, -1, 0.09390965023657881, 0.04844793647401226, 77.92704921912545, 44.75, -14.25, 0.4411764705882353,024.07
236, 71, 0, -1, 0.09492894134859049, 0.0008045543526923087, 77.14029426959688, 45.25, 3.25, 0.4685212856658182,017.03
239, 74, 0, -1, 0.1005498572206022, -0.026494686941770717, 76.79192665899195, 48.0, 13.0, 0.45454545454545453,021.38
